team,team_name,year,city,state,stadium,max_capacity,new_stadium
San Francisco,49ers,2000,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2001,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2002,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2003,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2004,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2005,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2006,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2007,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2008,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2009,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2010,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2011,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2012,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2013,San Francisco,California,Candlestick Park,64450,0
San Francisco,49ers,2014,Santa Clara,California,Levi's Stadium,68983,1
San Francisco,49ers,2015,Santa Clara,California,Levi's Stadium,68983,0
San Francisco,49ers,2016,Santa Clara,California,Levi's Stadium,68983,0
San Francisco,49ers,2017,Santa Clara,California,Levi's Stadium,68983,0
San Francisco,49ers,2018,Santa Clara,California,Levi's Stadium,68983,0
San Francisco,49ers,2019,Santa Clara,California,Levi's Stadium,68983,0
Chicago,Bears,2000,Chicago,Illinois,Soldier Field,61500,0
Chicago,Bears,2001,Chicago,Illinois,Soldier Field,61500,0
Chicago,Bears,2002,Champaign,Illinois,Memorial Stadium,69249,1
Chicago,Bears,2003,Chicago,Illinois,Soldier Field,63000,1
Chicago,Bears,2004,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2005,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2006,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2007,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2008,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2009,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2010,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2011,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2012,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2013,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2014,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2015,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2016,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2017,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2018,Chicago,Illinois,Soldier Field,63000,0
Chicago,Bears,2019,Chicago,Illinois,Soldier Field,63000,0
Cincinnati,Bengals,2000,Cincinnati,Ohio,Paul Brown Stadium,65515,1
Cincinnati,Bengals,2001,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2002,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2003,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2004,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2005,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2006,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2007,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2008,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2009,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2010,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2011,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2012,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2013,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2014,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2015,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2016,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2017,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2018,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Cincinnati,Bengals,2019,Cincinnati,Ohio,Paul Brown Stadium,65515,0
Buffalo,Bills,2000,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2001,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2002,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2003,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2004,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2005,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2006,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2007,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2008,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2009,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2010,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2011,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2012,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2013,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2014,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2015,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2016,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2017,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2018,Orchard Park,New York,New Era Field,73039,0
Buffalo,Bills,2019,Orchard Park,New York,New Era Field,73039,0
Denver,Broncos,2000,Denver,Colorado,Mile High Stadium,76273,0
Denver,Broncos,2001,Denver,Colorado,Empower Field,76125,1
Denver,Broncos,2002,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2003,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2004,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2005,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2006,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2007,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2008,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2009,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2010,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2011,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2012,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2013,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2014,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2015,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2016,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2017,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2018,Denver,Colorado,Empower Field,76125,0
Denver,Broncos,2019,Denver,Colorado,Empower Field,76125,0
Cleveland,Browns,2000,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2001,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2002,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2003,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2004,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2005,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2006,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2007,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2008,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2009,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2010,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2011,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2012,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2013,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2014,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2015,Cleveland,Ohio,FirstEnergy Stadium,67895,0
Cleveland,Browns,2016,Cleveland,Ohio,FirstEnergy Stadium,67895,0
